user_id,age,device_type,time_of_day,preferred_language,industry,role,tech_savviness,completion_time_mins,tutorials_watched,help_accessed,features_explored,path_chosen,onboarding_complete,retention_7_day,satisfaction_score
1,24,mobile,evening,English,Technology,Developer,high,12,4,1,8,technical,true,true,9
2,35,desktop,morning,Filipino,Education,Teacher,medium,18,6,3,5,guided,true,true,8
3,42,tablet,afternoon,English,Healthcare,Manager,low,25,8,5,3,basic,true,false,6
4,19,mobile,night,Filipino,Student,Student,high,10,3,0,7,technical,true,true,9
5,28,desktop,morning,English,Finance,Analyst,medium,15,5,2,6,guided,true,true,8
6,31,mobile,evening,Filipino,Retail,Owner,low,22,7,4,4,basic,false,false,5
7,45,desktop,afternoon,English,Technology,Manager,high,14,4,1,9,technical,true,true,9
8,29,mobile,morning,Filipino,Healthcare,Nurse,medium,20,6,3,5,guided,true,false,7
9,33,tablet,night,English,Education,Professor,high,16,5,2,7,technical,true,true,8
10,27,mobile,evening,Filipino,Finance,Accountant,medium,19,5,2,6,guided,true,true,8
11,38,desktop,morning,English,Retail,Manager,low,23,7,4,4,basic,false,false,5
12,22,mobile,afternoon,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
13,36,desktop,night,English,Healthcare,Doctor,medium,17,5,2,6,guided,true,true,8
14,41,tablet,evening,Filipino,Education,Teacher,low,24,8,5,3,basic,true,false,6
15,25,mobile,morning,English,Finance,Analyst,high,13,4,1,8,technical,true,true,9
16,30,desktop,afternoon,Filipino,Retail,Supervisor,medium,18,6,3,5,guided,true,true,8
17,34,mobile,night,English,Technology,Designer,high,15,4,1,7,technical,true,true,9
18,43,desktop,evening,Filipino,Healthcare,Administrator,low,21,7,4,4,basic,false,false,5
19,26,mobile,morning,English,Education,Researcher,high,12,4,1,8,technical,true,true,9
20,32,tablet,afternoon,Filipino,Finance,Manager,medium,19,5,2,6,guided,true,true,8
21,39,mobile,night,English,Retail,Owner,low,23,7,4,4,basic,false,false,5
22,23,desktop,evening,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
23,37,mobile,morning,English,Healthcare,Nurse,medium,18,6,3,5,guided,true,true,8
24,44,desktop,afternoon,Filipino,Education,Professor,low,22,7,4,4,basic,true,false,6
25,28,tablet,night,English,Finance,Analyst,high,14,4,1,7,technical,true,true,9
26,31,mobile,evening,Filipino,Retail,Manager,medium,19,5,2,6,guided,true,true,8
27,35,desktop,morning,English,Technology,Designer,high,13,4,1,8,technical,true,true,9
28,40,mobile,afternoon,Filipino,Healthcare,Doctor,low,24,8,5,3,basic,false,false,5
29,24,desktop,night,English,Education,Teacher,high,12,4,1,8,technical,true,true,9
30,33,tablet,evening,Filipino,Finance,Accountant,medium,17,5,2,6,guided,true,true,8
31,29,mobile,morning,English,Retail,Supervisor,low,21,7,4,4,basic,true,false,6
32,36,desktop,afternoon,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
33,42,mobile,night,English,Healthcare,Manager,medium,18,6,3,5,guided,true,true,8
34,27,desktop,evening,Filipino,Education,Researcher,high,13,4,1,7,technical,true,true,9
